JOB_TITLE,WORKSITE_STATE,PW_WAGE_LEVEL,PREVAILING_WAGE
COMPUTER SPECIALIST / TESTING AND QUALITY ANALYST 2,OH,Level II,"76,606.00"
SENIOR CONSULTANT,TX,Level II,"93,538.00"
COMPUTER SYSTEMS ENGINEER / ARCHITECT,NY,Level II,"74,443.00"
SENIOR SOLUTION ARCHITECT,MN,Level II,"78,166.00"
APPLICATIONS CONSULTANT 3,FL,Level III,"91,645.00"
INFRASTRUCTURE CONSULTANT 2,GA,Level II,"73,944.00"
TEST CONSULTANT 2,CA,Level II,"70,325.00"
RESEARCHER V,AL,Level II,"41,891.00"
SYSTEMS ANALYST,TX,Level II,"80,850.00"
SENIOR SYSTEMS ANALYST JC60,MN,Level II,"77,542.00"
SYSTEMS ANALYST JC65,NY,Level I,"72,509.00"
MANAGER JC50,CT,Level III,"94,390.00"
SENIOR SYSTEMS ANALYST JC60,MA,Level II,"72,509.00"
MANAGER JC50,MO,Level III,"92,602.00"
MANAGER JC50,CT,Level III,"94,390.00"
SENIOR SYSTEMS ANALYST JC60,DE,Level II,"84,219.00"
APPLICATION DEVELOPER,MA,Level II,"84,698.00"
SYSTEMS ADMINISTRATOR,AZ,Level IV,"101,920.00"
SOFTWARE DEVELOPER,MN,Level II,"78,166.00"
SENIOR SOLUTION SPECIALIST,FL,Level II,"61,797.00"
SYSTEM SOFTWARE ANALYST,TX,Level II,"94,806.00"
ENGINEERING SPECIALIST - DIAGNOSTICS VALIDATION SME,MI,Level II,"75,608.00"
CLASSICAL CHINESE DANCE INSTRUCTOR,CA,Level I,"38,740.00"
BRAND MANAGER,NY,Level I,22.75
INDUSTRIAL ENGINEER,CA,Level II,"90,480.00"
TEST DATA MANAGEMENT ENGINEER,OH,Level II,"84,219.00"
SALESFORCE DEVELOPER,IN,Level II,"74,485.00"
APPS SYSTEMS ENGINEER 5,NC,Level II,"88,670.00"
ASSOCIATE RESEARCH SCIENTIST,NY,Level II,"50,731.00"
ORACLE ERP CONSULTANT,CA,Level II,"96,762.00"
STATISTICAL PROGRAMMER II,MD,Level I,"77,813.00"
SOFTWARE DEVELOPER,CA,Level I,"94,557.00"
SYSTEMS ANALYST SENIOR,VA,Level II,"88,317.00"
"ASSOCIATE DIRECTOR, SEARCH",NY,Level IV,"97,573.00"
SYSTEM ADMINISTRATOR,CA,Level II,"74,630.00"
SR. SOFTWARE ENGINEER,NJ,Level III,"117,624.00"
IT PROJECT MANAGER,CA,Level III,"122,221.00"
PRODUCTION SUPPORT SPECIALIST,VA,Level II,"84,926.00"
PHYSICIAN (PULMONARY/CRITICAL CARE),OH,Level II,"176,010.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
SOFTWARE DEVELOPMENT ENGINEER II,CA,Level II,"121,077.00"
YOUTH OUTREACH WORKER,WA,,13.37
RESEARCH FELLOW,MA,Level I,"50,627.00"
SOFTWARE DEVELOPMENT ENGINEER I,WA,Level I,"92,810.00"
SOFTWARE DEVELOPMENT ENGINEER I,WA,Level I,"92,810.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
GLOBAL ECM ANALYST III,TX,Level IV,"109,138.00"
SENIOR CONSULTANT,CA,Level II,"99,320.00"
PROGRAMMER ANALYST,IL,Level II,"76,502.00"
PROJECT LEAD,IL,Level II,"74,901.00"
SOFTWARE ENGINEER,AZ,Level I,"44,179.00"
GRAPHIC DESIGNER,TX,Level I,"38,896.00"
APPLICATION ARCHITECT,AZ,Level I,"44,179.00"
SR. MANUFACTURING ENGINEER,MN,Level III,50.90
APPLICATION DEVELOPER,MD,Level II,"78,250.00"
SPECIALIST SENIOR,NJ,Level II,"99,819.00"
SOFTWARE ENGINEER,IL,Level II,"74,901.00"
TECHNICAL LEAD,FL,Level II,"58,656.00"
PROJECT MANAGER,MA,Level II,"71,614.00"
TECHNICAL LEAD,AZ,Level II,"63,939.00"
TEST LEAD,FL,Level II,"58,656.00"
TEST ENGINEER,IA,Level II,"60,861.00"
TECHNICAL ARCHITECT,TN,Level II,"63,211.00"
TECHNICAL LEAD,NY,Level II,"71,469.00"
TECHNICAL LEAD,TX,Level III,"98,925.00"
SENIOR CONSULTANT,CA,Level II,"84,885.00"
POSTDOCTORAL RESEARCH FELLOW,OK,Level I,"42,120.00"
CONSULTANT,VA,Level I,"72,862.00"
TECHNICAL SUPPORT ENGINEER,CA,Level III,"110,864.00"
PRODUCT ENGINEER,TX,Level II,47.62
SOLUTION ARCHITECT,PA,Level III,"81,245.00"
SENIOR SOLUTION SPECIALIST,FL,Level II,"76,170.00"
SOFTWARE APPLICATIONS DEVELOPER,NJ,Level II,36.95
SOFTWARE DEVELOPER APPLICATIONS,PA,Level II,36.47
SOFTWARE DEVELOPER APPLICATIONS,IL,Level II,38.90
SENIOR CONSULTANT,GA,Level II,"55,494.00"
PILOT FIRST OFFICER SKYWEST AIRLINES,IL,,37.23
SOFTWARE QUALITY ASSURANCE TESTER,OH,Level II,36.83
TELEMATICS TEST ENGINEER,CA,Level II,42.61
LOGISTICS ANALYST,CA,Level II,33.42
DATA SCIENTIST / CTO,CA,Level III,"112,362.00"
IT PROJECT MANAGER,CA,Level III,"122,221.00"
ENGINEERING MANAGER,NY,Level III,"99,258.00"
LEAD - TECHNOLOGY,NC,Level II,"88,670.00"
ASSOCIATE,WA,Level II,"113,318.00"
PHYSICAL THERAPIST,MA,Level III,42.56
PHYSICAL THERAPIST,MA,Level III,43.70
ASSOCIATE,NY,Level IV,"228,238.00"
SOLUTION SPECIALIST,PA,Level I,"58,219.00"
ADVISORY SENIOR CONSULTANT,IL,Level II,"82,056.00"
ATTENDING PHYSICIAN,NY,Level II,"153,483.00"
ENGINEERING DATA CONTROL & CONFIGURATION MANAGEMENT,CA,Level II,"92,123.00"
SWL DEVELOPER II,AR,Level III,39.83
QA LEAD,CT,Level II,"82,430.00"
MATH TEACHER,AR,Level I,"40,790.00"
PRINCIPAL ENGINEER-SOFTWARE DEV (LEAD SYSTEM CONSLT),GA,,"122,800.00"
SOFTWARE ENGINEER,WA,,"182,063.00"
SYSTEMS ANALYST - III,GA,Level III,"90,397.00"
MECHANICAL ENGINEERS - I,DE,Level I,"70,574.00"
DOT NET DEVELOPER,CA,Level II,47.75
SQL BACKEND TESTER,VA,Level II,"93,933.00"
PROJECT MANAGER,FL,Level II,"46,842.00"
SENIOR PROGRAMMER ANALYST,PA,Level II,"70,845.00"
SENIOR HEALTH SERVICES ANALYST,MN,Level IV,"69,909.00"
SENIOR SOFTWARE DEVELOPER,PA,Level II,"91,915.00"
PRODUCT MANAGER,CA,Level III,"106,226.00"
SOFTWARE DEVELOPER SYSTEMS SOFTWARE,IL,Level II,"89,648.00"
INFRASTRUCTURE CONSULTANT 2,CA,Level II,"86,112.00"
TECHNICAL SOLUTION LEAD,TX,Level II,"71,802.00"
SENIOR SOFTWARE ENGINEER - MOBILE,NY,Level IV,"138,861.00"
SENIOR SOFTWARE ENGINEER - IT,TX,Level III,"87,152.00"
MEMBER OF TECHNICAL STAFF,CA,Level IV,"155,106.00"
SENIOR BUSINESS ANALYST,TX,Level III,"95,763.00"
SENIOR ENGINEER FOR III-V SOURCE TO SI PHOTONICS INTEGRATION,FL,Level II,"70,429.00"
ANIMAL SCIENTIST (TECHNICAL SERVICES MANAGER),TN,Level II,"49,275.00"
PROJECT COORDINATOR - TECHNICAL LEAD,,Level III,46.47
COMPUTER SYSTEMS ANALYSTS,PA,Level III,"98,654.00"
MANAGER,IL,Level III,"96,658.00"
COMPUTER SYSTEMS ANALYSTS,PA,Level III,"98,654.00"
"GLOBAL DIRECTOR, M&A",NY,Level III,"137,946.00"
ADVISORY SENIOR ASSOCIATE,TX,Level II,"77,792.00"
SYSTEMS ANALYST,FL,Level III,"101,379.00"
"ENGINEER 3, SOFTWARE DEVELOPMENT & ENGINEERING",PA,Level I,"87,610.00"
PROGRAM MANAGER - GLOBAL PROJECTS - ELECTRONICS,MI,Level IV,"94,973.00"
SOFTWARE SYSTEMS ENGINEER,NE,Level II,"81,723.00"
SOFTWARE DEVELOPER,NJ,Level II,"75,254.00"
SOFTWARE TEST ENGINEER,CA,Level II,"95,638.00"
SHAREPOINT CONSULTANT,PA,Level II,"81,286.00"
COMPUTER PROGRAMMER,VA,Level II,"81,640.00"
COMPUTER SYSTEMS ANALYSTS,PA,Level III,"85,259.00"
DESIGN ENGINEER,CA,Level II,48.44
SENIOR SOFTWARE ENGINEER,CA,Level III,"132,184.00"
SR. JAVA MIDDLEWARE DEVELOPER,GA,Level II,"84,240.00"
SYSTEMS ENGINEER,CA,Level III,"121,805.00"
SHAREPOINT APPLICATION ARCHITECT,WI,Level III,40.90
. NET DEVELOPER,VA,Level II,"93,933.00"
SOFTWARE DEVELOPER/SYSTEMS ANALYST LEAD,GA,Level II,"84,240.00"
.NET DEVELOPER,MD,,"80,300.00"
TECHNICAL LEAD,MD,Level II,"78,250.00"
"SOFTWARE DEVELOPER, APPLICATIONS",VA,Level II,"80,517.00"
ENGINEER SECTION MANAGER - TRAFFIC,VA,Level III,"72,322.00"
SOFTWARE TEST ENGINEER,CA,Level III,"141,898.00"
INSTRUMENTATION ENGINEER,TX,Level III,"101,388.00"
SOFTWARE DEVELOPER,TN,Level II,"79,019.00"
GLOBAL PRODUCT TECHNICAL SUPPORT ENGINEER,CA,Level II,"111,446.00"
DEVELOPER,AL,Level II,"75,483.00"
SENIOR ENGINEER,TX,Level III,"98,925.00"
PROGRAMMING TEAM LEADER (BIOINFORMATICS),IL,Level IV,"117,437.00"
TECHNOLOGY LEAD - US - PRACTITIONER,OH,Level II,33.51
CONSULTANT - US - PROFESSIONAL,OH,Level II,"73,965.00"
SENIOR PROGRAM MANAGER,WA,Level III,"133,806.00"
SENIOR PROGRAM MANAGER,CA,Level III,"132,184.00"
SENIOR FASTTRACK ENGINEER,WA,Level III,"94,827.00"
DCD MASTER SCHEDULER,WA,Level III,"111,925.00"
ESCALATION ENGINEER,WA,Level II,"74,048.00"
SENIOR SOFTWARE ENGINEER,WA,Level III,"133,806.00"
UX DESIGNER,WA,Level I,"88,920.00"
SENIOR SOFTWARE ENGINEER,WA,Level III,"133,806.00"
SENIOR SOFTWARE ENGINEER,WA,Level III,"133,806.00"
DATA SCIENTIST,WA,Level I,"95,160.00"
SOFTWARE ENGINEER,CA,Level II,"121,077.00"
DATA SCIENTIST,WA,Level II,"119,850.00"
SOLUTION ARCHITECT II,GA,Level II,"72,301.00"
PROGRAM MANAGER,WA,Level III,"113,298.00"
PRODUCT DESIGNER,WA,Level II,"51,334.00"
SENIOR SERVICE ENGINEER,WA,Level III,"94,827.00"
SENIOR SERVICE ENGINEER,WA,Level III,"94,827.00"
"TEAM LEAD, IT APPLICATIONS",AZ,Level II,"81,266.00"
SOFTWARE ENGINEER II,TX,Level II,"93,538.00"
"ANALYST 4, IT SECURITY",CA,Level II,"77,750.00"
TECHNOLOGY LEAD,CA,Level II,"109,242.00"
SYSTEM ARCHITECT - II,TX,Level II,"80,974.00"
PROGRAMMER ANALYST - II,DC,Level II,"81,640.00"
BUSINESS INTELLIGENCE ENGINEER,UT,Level III,"110,074.00"
SCIENTIST DEVELOPMENT,CA,Level IV,"123,219.00"
QUANTITATIVE ANALYST / DATA SCIENTIST,CA,Level II,"100,506.00"
SENIOR IMPLEMENTATIONS ENGINEER,MA,Level III,"94,931.00"
NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,NJ,Level IV,"122,242.00"
MANAGING CONSULTANT,NJ,Level II,"93,642.00"
INFORMATION SECURITY ANALYSTS,NJ,Level II,"98,010.00"
QA LEAD,IL,Level II,"67,850.00"
JAVA DEVELOPER,TX,Level II,"85,467.00"
COMPUTER SYSTEMS ANALYSTS,VA,Level III,"104,187.00"
SR. MECHANICAL DESIGN ENGINEER,MI,Level II,"66,726.00"
SOFTWARE DEVELOPER,TX,Level II,"88,483.00"
AGILE BUSINESS ANALYST,IN,Level II,16.90
CUSTOMER STRATEGY LEAD,NY,Level III,"41,933.00"
BIG DATA DEVELOPER,TX,Level II,"93,538.00"
SYSTEMS ANALYST,TX,Level II,"81,598.00"
ENDPOINT PROTECTION MANAGER,NJ,Level III,"199,139.00"
SOFTWARE DEVELOPER,OH,Level II,"77,189.00"
CLINICAL SAS PROGRAMMER,MA,Level II,"82,014.00"
STAFF ENGINEER,CA,Level IV,"164,674.00"
SALESFORCE DEVELOPER,OR,Level II,"91,874.00"
SOFTWARE ENGINEER,MD,Level III,"126,256.00"
"SOFTWARE DEVELOPER, APPLICATIONS",FL,Level II,"76,170.00"
ENGINEER,WA,Level II,"101,837.00"
SOFTWARE ENGINEER,CA,Level III,"111,280.00"
ASSOCIATE DENTIST,TX,Level II,"117,749.00"
SOFTWARE ENGINEER,PA,Level III,"106,475.00"
DATA/TECHNICAL ARCHITECT,CA,Level II,30.40
BUSINESS INTELLIGENCE ANALYST,FL,Level III,"97,240.00"
DATA ARCHITECT,OR,Level II,"90,480.00"
TECHNOLOGY LEAD - US,WA,Level II,"85,342.00"
OPERATIONS ANALYST,TX,Level II,"72,446.00"
BUSINESS ANALYST,CA,Level II,"90,938.00"
SOLUTION ARCHITECT,CA,Level IV,"109,658.00"
SR. SOFTWARE ENGINEER,CA,Level IV,"174,117.00"
ASSISTANT PROFESSOR,PA,Level I,"41,500.00"
SPEECH LANGUAGE PATHOLOGISTS,CA,Level I,"64,834.00"
SR. SOFTWARE DEVELOPER,MI,Level IV,"109,782.00"
DRUPAL/PHP DEVELOPER,UT,Level II,"80,330.00"
ASST PROF OF INTERNAL MEDICINE,GA,Level IV,"162,880.00"
POST DOCTORAL RESEARCH ASSOCIATE (DEPARTMENT OF PHYSICS),MA,,"51,390.00"
CONSULTANT - IT QUALITY SERVICES,FL,Level III,"84,573.00"
SOLUTIONS ARCHITECT,NY,Level II,"96,366.00"
STAFF NETWORK ENGINEER,CO,Level II,"96,886.00"
FIELD OPERATIONS ANALYST,CA,Level IV,"105,581.00"
POST  DOCTORAL FELLOW,GA,Level I,"42,328.00"
PROJECT MANAGER,KS,Level II,"69,118.00"
CHEMICAL PROCESS ENGINEER,VT,Level II,"90,418.00"
BUSINESS SYSTEMS ANALYST 2,OH,Level II,"81,182.00"
TEST CONSULTANT 2,OH,Level II,"64,979.00"
CYBERARK ARCHITECT,TX,Level III,52.83
SOFTWARE ENGINEER,MI,Level III,"76,877.00"
PROGRAMMER ANALYST,DE,Level II,"86,466.00"
BI DEVELOPER,IN,Level II,"74,485.00"
BUSINESS ANALYST 3,NJ,Level III,"111,800.00"
BUSINESS ANALYST 3,NJ,Level III,"113,776.00"
POSTDOCTORAL RESEARCH FELLOW,CA,Level II,"55,640.00"
BUSINESS SYSTEMS ANALYSIS SENIOR PRINCIPAL CONSULTANT,CA,,"114,446.00"
ANALYST PROGRAMMER,TX,Level II,"70,845.00"
DESIGN ENGINEER,MI,Level II,"72,613.00"
SR CONSULTANT PRODUCT MNG./DEV. (PRINCIPAL PRODUCT MANGER),CA,,"170,134.00"
TECHNOLOGY LEAD - US,NJ,Level II,"83,138.00"
SOURCING CONSULTANT & ENGINEER,MA,Level II,"90,480.00"
TECHNOLOGY ARCHITECT - US,IL,Level III,"96,325.00"
SENIOR TECHNOLOGY ARCHITECT - US,TX,Level IV,"110,677.00"
TECHNICAL TEST LEAD - US,TN,Level II,"63,211.00"
CAD ENGINEER,IN,Level I,"48,984.00"
AMS TECHNICAL LEAD MAINFRAMES,OR,Level II,"70,262.00"
ACCOUNTANTS AND AUDITORS,MI,Level II,"58,282.00"
QUALITY ANALYST (REGULATORY AFFAIRS),MA,Level II,34.83
COMPUTER SYSTEMS ANALYSTS,NJ,Level II,"93,642.00"
COMPUTER SYSTEMS ANALYSTS,NJ,Level II,"93,642.00"
TEST MANAGER,CT,Level III,"81,765.00"
SOFTWARE ARCHITECT,MA,Level II,"84,698.00"
SENIOR CONSULTANT,WA,Level II,"113,318.00"
TEST CONSULTANT 2,IL,Level II,"74,901.00"
TEAM MANAGER,PA,Level II,"105,976.00"
COMPUTER SYSTEMS ANALYSTS,VA,Level III,"104,187.00"
POWERTRAIN OBD CALIBRATION ENGINEER,MI,Level II,34.91
SOFTWARE ENGINEER,NY,Level II,"96,366.00"
SENIOR APPLICATIONS ENGINEER,CA,Level III,"125,112.00"
SOFTWARE ENGINEER,FL,Level II,"73,112.00"
APPLICATION ARCHITECT,IL,Level IV,"112,403.00"
SOFTWARE ENGINEER,NJ,Level II,"93,746.00"
SOFTWARE ENGINEER,PA,Level II,"72,779.00"
POST DOCTORAL FELLOW,MI,Level I,"40,206.00"
SENIOR SOFTWARE ANALYST,NY,Level III,"84,386.00"
MARKETING SPECIALIST,CA,Level I,20.25
OPERATIONS ENGINEER,CA,Level III,"111,426.00"
COMPUTER SYSTEMS ANALYSTS,CA,Level III,"94,016.00"
SPECIALIST SENIOR,PA,Level II,"86,445.00"
ASSOCIATE,CA,Level III,"63,780.00"
SENIOR ENGINEER,AZ,Level IV,"114,650.00"
SENIOR TRANSMISSION ANALYST,NJ,Level IV,"131,643.00"
SENIOR WIRELESS SYSTEMS ENGINEER,CA,Level IV,"147,950.00"
SOFTWARE ENGINEER,OH,Level II,"77,189.00"
MOBILE UX DESIGNER,NY,Level I,"75,130.00"
.NET DEVELOPER,WA,Level I,44.62
COMPUTER SYSTEMS ANALYSTS,NY,Level III,"114,754.00"
COMPUTER SYSTEMS ANALYSTS,OH,Level III,"97,926.00"
SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS,MN,Level II,"63,814.00"
"ASSOCIATE, CYBERSECURITY",WA,Level III,"120,307.00"
"PROGRAM MANAGER, LOGISTICS SUPPLIER MANAGEMENT",CA,Level II,"97,864.00"
QA TESTER / DEVELOPER,MD,Level II,"102,648.00"
ACCOUNTANTS AND AUDITORS,TN,Level II,"54,558.00"
ACCOUNTANTS AND AUDITORS,TN,Level II,"54,538.00"
ENGINEER / SCIENTIST II,CA,Level II,"66,310.00"
DEVELOPER III,IL,Level IV,"112,403.00"
TECHNICAL LEAD,NJ,Level III,"113,256.00"
VALIDATION TESTER,OH,Level II,"65,707.00"
SENIOR QA ANALYST,PA,Level II,"74,256.00"
SR. SOFTWARE ENGINEER,TX,Level IV,"122,366.00"
READER,UT,Level IV,"1,278.00"
SAP ARCHITECT,VA,Level II,"93,933.00"
SOLUTION SUPPORT ENGINEER II,CO,Level I,"64,314.00"
READER,UT,Level IV,"1,278.00"
SENIOR SOFTWARE ENGINEER,CA,Level IV,"155,106.00"
SOFTWARE DEVELOPER,MO,Level III,43.43
SCIENTIST III,CA,Level II,"48,672.00"
ACCOUNTANT LEVEL II,CA,Level II,31.31
ASSISTANT DIRECTOR OF SEXUAL VIOLENCE PREVENTION/ED,OR,,"53,992.00"
SOFTWARE ENGINEER,MD,Level II,"102,648.00"
PROGRAMMER/ DEVELOPER 3,GA,Level III,"87,610.00"
PROJECT MANAGER,KS,Level III,"86,466.00"
IT BUSINESS PARTNER - TREASURY,TX,Level IV,"120,702.00"
SOFTWARE DEVELOPER APPLICATIONS,FL,Level II,30.02
SOFTWARE DEVELOPER APPLICATIONS,DC,Level II,45.16
BIZTALK DEVELOPER,PA,Level II,33.52
CLINICAL LABORATORY MANAGER,TX,Level IV,"83,616.00"
RESEARCH INVESTIGATOR,MI,Level I,"38,646.00"
SENIOR CONSULTANT,TX,Level II,"91,915.00"
SPECIALIST MASTER,TX,Level III,"113,714.00"
RESEARCH TECHNICIAN,WA,Level II,"38,064.00"
SOFTWARE DEVELOPER,GA,Level II,"84,240.00"
SENIOR SOFTWARE ENGINEER,CA,Level III,"147,597.00"
ENTERPRISE APPLICATION DESIGN ENGINEER,IL,Level IV,"90,605.00"
"APPLICATION DEVELOPMENT ANALYST, SENIOR",MI,Level IV,"90,646.00"
PROGRAMMER ANALYST,GA,Level II,"71,739.00"
SOFTWARE DEVELOPMENT SENIOR SPECIALIST,TX,,"100,880.00"
SENIOR DEVELOPER,MN,Level III,"94,058.00"
NETWORK ENGINEER,CA,Level I,30.71
SENIOR APPLICATION DEVELOPER,TX,Level III,"105,165.00"
SENIOR DESIGN ENGINEER,OH,Level III,"80,122.00"
SENIOR CONSULTANT (SR. DATA ANALYST),IN,Level III,"79,498.00"
VICE PRESIDENT CONSULTANT SYSTEMS/SOFTWARE QA,TX,Level IV,"126,235.00"
ASSISTANT COMPUTATIONAL SCIENTIST,CT,Level I,"43,264.00"
ARCHITECT,MN,Level II,"63,814.00"
DEVELOPER,CO,Level II,"78,915.00"
TECHNICAL LEAD,MN,Level II,"63,814.00"
SENIOR SALESFORCE DEVELOPER,FL,Level IV,"107,307.00"
FIELD ENGINEER,LA,Level I,"68,224.00"
ASSISTANT INTERIOR DESIGNER,NY,Level II,"55,141.00"
"PRODUCT MANAGER, ANALYTICS (15-1199.09)",WA,Level III,"94,827.00"
SOFTWARE ENGINEER,CA,Level II,"109,242.00"
SOFTWARE ENGINEER 1615.42814,CA,,"128,352.00"
COMPUTER SYSTEMS ANALYST,CA,Level II,"96,762.00"
INFRASTRUCTURE ENGINEER - APPLICATION SOFTWARE,NC,Level I,"69,867.00"
SOFTWARE QUALITY ASSURANCE ENGINEERS AND TESTERS,MI,Level III,"71,261.00"
IT PROJECT MANAGER,TX,Level II,"75,733.00"
MANAGER,GA,Level III,"104,790.00"
SENIOR CONSULTANT,IL,Level II,"76,502.00"
SENIOR MANAGER,MI,Level IV,"87,818.00"
SENIOR MANAGER,OR,Level IV,"95,597.00"
TECHNICAL SOLUTION ARCHITECT,TX,Level IV,"106,974.00"
SYSTEMS ENGINEER,TX,Level III,"98,925.00"
SENIOR PRODUCT MARKETING MANAGER,NY,Level I,"118,290.00"
SENIOR STAFF ASICS ENGINEER,CA,Level IV,"145,621.00"
STAFF ASICS ENGINEER,CA,Level III,"126,027.00"
HEAD OF HYDROGEN FUELING R&D,AZ,Level IV,"102,378.00"
HEAD OF HYDROGEN FUELING R&D,AZ,Level IV,"115,544.00"
SENIOR CONSULTANT,TX,Level II,"93,538.00"
SENIOR PRINCIPAL SOFTWARE ENGINEER,TX,Level IV,"122,366.00"
STAFF DESIGN ENGINEER,CA,Level IV,"152,526.00"
DATABASE ADMINISTRATOR,NJ,Level II,"90,938.00"
ARCHITECTURAL DESIGNER,CA,Level II,"83,304.00"
SOFTWARE DEVELOPERS,PA,Level II,"87,610.00"
DENTIST,TX,Level III,75.88
CIVIL ENGINEER,CA,Level I,"74,131.00"
TECH SPECIALISTS  SALESFORCE,CA,Level II,"95,638.00"
SENIOR LEAD,CA,Level II,"95,638.00"
BUSINESS SYSTEMS ANALYST,CA,Level II,"76,773.00"
SERVICENOW BUSINESS ANALYST,CA,Level II,"85,280.00"
SOFTWARE DEVELOPER,NY,Level II,"99,736.00"
"SOFTWARE DEVELOPER, SYSTEMS SOFTWARE",IL,Level II,"78,957.00"
JAVA TECH LEAD,PA,Level II,"87,610.00"
DEVELOPER,SC,Level II,"88,670.00"
COMPUTER PROGRAMMER / CONFIGURER 2,NY,Level II,"68,640.00"
COMPUTER SPECIALIST / TESTING AND QUALITY ANALYST 2,PA,Level II,"74,256.00"
COMPUTER SYSTEMS ANALYST 3,TX,Level III,"101,150.00"
BUSINESS ANALYST,TN,Level II,"65,874.00"
COMPUTER SYSTEMS ANALYST 2,CA,Level II,"79,872.00"
COMPUTER SPECIALIST/SYSTEM SUPPORT AND DEVELOPMENT ADMIN 3,NJ,Level III,"102,003.00"
SALESFORCE CONSULTANT,IL,Level III,"77,522.00"
SOFTWARE ENGINEER,CA,Level III,"132,184.00"
ARCHITECT,NJ,Level II,"96,366.00"
"SR. DEVELOPER, IT BUSINESS INTELLIGENCE",TX,Level II,"80,974.00"
SENIOR SOFTWARE DEVELOPER,MO,Level II,"77,667.00"
SPECIALIST SENIOR,GA,Level II,"87,693.00"
SOFTWARE ENGINEER,CT,Level III,"93,808.00"
APPLICATION DEVELOPER,TX,Level II,"83,928.00"
SYSTEMS ADMINISTRATOR,NY,Level III,"102,294.00"
"SENIOR SOFTWARE ENGINEER, UI",IL,Level III,"96,658.00"
FAMILY MEDICINE PHYSICIAN,GA,Level II,"231,000.00"
MICROSCOPY TECHNICIAN,CA,Level I,"36,608.00"
SENIOR APPLICATION ENGINEER,MI,Level III,"93,829.00"
SOFTWARE QUALITY ASSURANCE TESTER/ENGINEER,KS,Level II,"73,590.00"
ADVISORY IT ARCHITECT,NC,Level III,"99,029.00"
ENGINEER- SERVICES SOFTWARE,WA,Level II,"113,318.00"
TECHNICAL SOLUTIONS ARCHITECT SENIOR SPECIALIST ADVISOR,MA,,"110,121.00"
SOFTWARE DEVELOPMENT SPECIALIST,NC,,"88,234.00"
"ANALYST, GLOBAL INVESTMENT BANKING",NY,Level I,"74,797.00"
POST-DOCTORAL FELLOW,FL,Level IV,"48,235.00"
PILOT FIRST OFFICER SKYWEST AIRLINES,CA,,37.23
ASSOCIATE,FL,Level I,"43,950.00"
PROJECT MANAGER,TX,Level II,"80,974.00"
SYSTEMS ANALYST,CO,Level II,"87,173.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
SUPPORT ENGINEER III,TX,Level I,"61,402.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
GRAPHICS SOFTWARE ENGINEER,CA,Level II,"88,816.00"
CHIEF OPERATIONS OFFICER,NY,Level III,"171,371.00"
SENIOR PROGRAMMER ANALYST,PA,Level II,"73,362.00"
SENIOR JAVA DEVELOPER,TX,Level IV,"126,235.00"
DEVOPS AUTOMATION ENGINEER,CA,Level II,"95,638.00"
SOFTWARE DEVELOPER,GA,Level II,"84,240.00"
INFRASTRUCTURE ENGINEER,CT,Level II,40.14
SOFTWARE APPLICATIONS DEVELOPER I,TX,Level I,"49,816.00"
REGULATORY COMPLIANCE MANAGER,MA,Level IV,"163,800.00"
LEGAL MANAGER,TX,Level II,"48,506.00"
POST DOCTORAL ASSOCIATE,FL,Level I,"33,134.00"
ACCOUNTANTS AND AUDITORS,CA,Level III,"97,906.00"
ACCOUNTANTS AND AUDITORS,CA,Level III,"92,206.00"
ACCOUNTANTS AND AUDITORS,CA,Level III,"89,586.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
SENIOR SYSTEM ENGINEER,NJ,Level II,"77,022.00"
ANALYST,SD,Level II,"62,962.00"
ARCHITECT,IL,Level II,"74,901.00"
ARCHITECT,OH,Level II,"64,979.00"
DEVELOPER,CO,Level II,"78,915.00"
DEVELOPER,TX,Level II,"71,802.00"
DEVELOPER,IL,Level II,"61,589.00"
DEVELOPER USER INTERFACE,NY,Level II,"67,642.00"
DEVELOPER USER INTERFACE,CT,Level II,"66,872.00"
DEVELOPER USER INTERFACE,TX,Level II,"64,334.00"
SYSTEMS ENGINEER III,CO,Level II,"87,173.00"
"PRINCIPAL SOFTWARE ENGINEER, EXPERIENCES & RENTALS WAREHOUSE",MA,Level IV,"122,283.00"
"LEAD SOFTWARE ENGINEER, ANDROID",CA,Level III,"111,280.00"
GROUP MANAGER,GA,Level I,"98,467.00"
"ASSOCIATE, SOFTWARE ENGINEERING",TX,Level II,"93,538.00"
"SENIOR ANALYST, ECOMMERCE",MA,Level III,"93,142.00"
ADVISORY DIRECTOR,MA,Level IV,"127,587.00"
DIRECTOR OF STRATEGY AND BUSINESS DEVELOPMENT,NY,Level I,"118,290.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
SOFTWARE DEVELOPMENT ENGINEER I,WA,Level I,"92,810.00"
