TITLE,STATE,LEVEL,WAGE
Software Engineer/Developer,MI,Level III,"93,954.00"
Analyst,IL,Level III,"86,923.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Analyst,NC,Level IV,"100,402.00"
Analyst,CA,Level II,"89,294.00"
Analyst,WA,Level III,"99,882.00"
Project Manager,MA,Level IV,"107,640.00"
Software Engineer/Developer,CA,Level II,"119,101.00"
Analyst,MO,Level II,"85,925.00"
Analyst,GA,Level II,"84,240.00"
Software Engineer/Developer,NE,Level II,"66,622.00"
Analyst,CA,Level II,"66,664.00"
Analyst,PA,Level II,"71,365.00"
Analyst,FL,Level II,"58,282.00"
Analyst,CT,Level II,"77,397.00"
Software Engineer/Developer,CA,Level III,"111,280.00"
Consultant,OH,Level I,"46,155.00"
Consultant,CA,Level II,"91,395.00"
Project Manager,MI,Level I,"66,664.00"
Analyst,AZ,Level II,"73,258.00"
Consultant,PA,Level III,"81,245.00"
Project Manager,TX,Level IV,"114,899.00"
Manager,CA,Level IV,"111,280.00"
Project Manager,NY,Level III,"97,843.00"
Manager,CA,Level IV,"91,624.00"
Analyst,IL,Level I,"61,131.00"
Manager,IL,Level IV,"106,309.00"
Manager,NY,Level III,"114,754.00"
Software Engineer/Developer,VA,Level II,"84,219.00"
Research Associate,MN,Level I,"42,120.00"
Software Engineer/Developer,TX,Level III,"105,435.00"
Research Associate,MA,Level I,"49,005.00"
Research Associate,MA,Level I,"49,005.00"
Software Engineer/Developer,TX,Level II,"93,538.00"
Software Engineer/Developer,CA,Level IV,"164,674.00"
Software Engineer/Developer,DC,Level II,"93,933.00"
Technical Lead,NY,Level II,"96,366.00"
Software Engineer/Developer,OR,Level III,"107,370.00"
Project Manager,TX,Level III,"109,886.00"
Software Engineer/Developer,OH,Level III,"107,765.00"
Manager,IL,Level III,"101,837.00"
Analyst,NY,Level II,"87,506.00"
Software Engineer/Developer,AR,Level III,"89,752.00"
Consultant,IN,Level II,"74,485.00"
Technical Lead,TX,Level II,"93,538.00"
Software Engineer/Developer,MO,Level II,"75,795.00"
Project Manager,PA,Level I,"93,642.00"
Software Engineer/Developer,CA,Level II,"103,064.00"
Software Engineer/Developer,MA,Level III,"93,371.00"
Software Engineer/Developer,TX,Level II,"91,915.00"
Analyst,NJ,Level II,"93,642.00"
Software Engineer/Developer,NY,Level III,"117,624.00"
Software Engineer/Developer,PA,Level III,"86,362.00"
Assistant Professor,NY,Level I,"59,700.00"
Software Engineer/Developer,NC,Level II,"85,426.00"
Research Associate,MD,Level I,"38,646.00"
Software Engineer/Developer,CA,Level II,"84,885.00"
Analyst,CA,Level I,"59,509.00"
Software Engineer/Developer,TX,Level II,"93,538.00"
Analyst,NY,Level II,"69,410.00"
Project Manager,MA,Level II,"120,307.00"
Project Manager,CA,Level III,"122,221.00"
Software Engineer/Developer,AZ,Level II,"81,266.00"
Physical Therapist,NC,Level II,"73,611.00"
Software Engineer/Developer,NY,Level II,"68,640.00"
Research Associate,CA,Level IV,"147,950.00"
Software Engineer/Developer,MN,Level III,"116,730.00"
Software Engineer/Developer,VA,Level II,"93,933.00"
Project Manager,NY,Level IV,"140,046.00"
Analyst,CA,Level III,"87,506.00"
Technical Lead,NJ,Level II,"81,099.00"
Software Engineer/Developer,CA,Level II,"99,320.00"
Software Engineer/Developer,NJ,Level II,"96,366.00"
Research Associate,NJ,Level I,"75,421.00"
Analyst,WA,Level II,"85,342.00"
Associate,MA,Level I,"64,251.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,OR,Level II,"90,480.00"
Technical Lead,FL,Level III,"87,693.00"
Manager,ID,Level II,"105,269.00"
Project Manager,VA,Level II,"141,877.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,CA,Level II,"84,885.00"
Software Engineer/Developer,CA,Level II,"98,779.00"
Software Engineer/Developer,CA,Level I,"94,557.00"
Consultant,CA,Level III,"132,184.00"
Architect,CA,Level IV,"108,930.00"
Architect,AZ,Level IV,"103,480.00"
Postdoctoral Fellow,PA,Level I,"56,618.00"
Physical Therapist,NC,Level II,"76,731.00"
Software Engineer/Developer,FL,Level II,"73,819.00"
Software Engineer/Developer,WA,Level I,"64,501.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Manager,MA,Level II,"78,666.00"
Project Manager,IN,Level II,"67,912.00"
Project Manager,IN,Level III,"81,099.00"
Postdoctoral Fellow,NC,Level I,"37,877.00"
Project Manager,NY,Level III,"102,357.00"
Analyst,TX,Level II,"77,979.00"
Software Engineer/Developer,PA,Level I,"74,818.00"
Software Engineer/Developer,IL,Level III,"99,112.00"
Analyst,CA,Level II,"74,131.00"
Postdoctoral Fellow,MD,Level I,"42,328.00"
Analyst,MO,Level II,"85,925.00"
Software Engineer/Developer,NY,Level III,"103,438.00"
Project Manager,NJ,Level IV,"121,222.00"
Software Engineer/Developer,NY,Level II,"96,366.00"
Technical Lead,VA,Level II,"93,933.00"
Technical Lead,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Architect,WA,Level I,"83,366.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Software Engineer/Developer,WI,Level II,"75,234.00"
Research Associate,MO,Level I,"42,328.00"
Analyst,OH,Level II,"74,755.00"
Analyst,IL,Level II,"75,837.00"
Project Manager,CA,Level IV,"124,051.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Associate,CA,Level II,"78,125.00"
Consultant,IL,Level II,"67,642.00"
Research Associate,MA,Level II,"62,400.00"
Software Engineer/Developer,CA,Level III,"125,590.00"
Analyst,PA,Level II,"69,722.00"
Analyst,MA,Level II,"78,666.00"
Software Engineer/Developer,OH,Level II,"87,693.00"
Software Engineer/Developer,MD,Level II,"93,933.00"
Software Engineer/Developer,TX,Level II,"88,483.00"
Software Engineer/Developer,NC,Level IV,"116,522.00"
Software Engineer/Developer,MI,Level III,"79,664.00"
Software Engineer/Developer,NJ,Level II,"70,242.00"
Postdoctoral Fellow,TX,Level II,"47,050.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Project Manager,CA,Level I,"66,851.00"
Analyst,NY,Level IV,"123,011.00"
Consultant,WI,Level II,"67,538.00"
Software Engineer/Developer,NJ,Level IV,"138,861.00"
Consultant,FL,Level I,"58,261.00"
Software Engineer/Developer,PA,Level II,"87,610.00"
Research Associate,NY,Level II,"63,690.00"
Architect,GA,Level II,"72,301.00"
Software Engineer/Developer,CA,Level IV,"124,654.00"
Project Manager,NJ,Level IV,"102,315.00"
Assistant Professor,CA,Level II,"54,517.00"
Software Engineer/Developer,WA,Level III,"120,307.00"
Software Engineer/Developer,CA,Level IV,"155,106.00"
Consultant,GA,Level II,"67,704.00"
Research Associate,OH,Level I,"32,947.00"
Software Engineer/Developer,WI,Level II,"75,234.00"
Software Engineer/Developer,WI,Level II,"75,234.00"
Software Engineer/Developer,WI,Level II,"75,234.00"
Analyst,AZ,Level III,"89,523.00"
Analyst,CA,Level III,"93,870.00"
Technical Lead,VA,Level II,"103,584.00"
Technical Lead,GA,Level III,"104,790.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level I,"92,810.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level I,"92,810.00"
Consultant,TX,Level III,"101,150.00"
Software Engineer/Developer,NC,Level II,"85,426.00"
Analyst,NC,Level II,"71,115.00"
Manager,NJ,Level II,"74,443.00"
Software Engineer/Developer,CO,Level II,"58,344.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Analyst,CA,Level II,"83,570.00"
Software Engineer/Developer,GA,Level II,"84,240.00"
Software Engineer/Developer,NY,Level IV,"97,323.00"
Software Engineer/Developer,CA,Level III,"111,426.00"
Software Engineer/Developer,MI,Level IV,"89,981.00"
Software Engineer/Developer,IL,Level II,"85,134.00"
Consultant,AL,Level II,"76,565.00"
Architect,AL,Level III,"86,653.00"
Architect,AL,Level II,"75,296.00"
Architect,CA,Level III,"82,597.00"
Architect,CA,Level II,"63,232.00"
Architect,NC,Level III,"80,101.00"
Manager,TX,Level II,"75,733.00"
Software Engineer/Developer,CA,Level II,"87,152.00"
Consultant,TX,Level II,"80,974.00"
Analyst,VA,Level II,"78,645.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Technical Lead,TN,Level II,"63,211.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level I,"92,810.00"
Software Engineer/Developer,AZ,Level III,"97,968.00"
Project Manager,MI,Level I,"66,664.00"
Software Engineer/Developer,GA,Level II,"87,693.00"
Software Engineer/Developer,MN,Level IV,"109,928.00"
Manager,FL,Level II,"81,432.00"
Analyst,CT,Level II,"82,909.00"
Software Engineer/Developer,IL,Level III,"63,835.00"
Software Engineer/Developer,IL,Level III,"63,835.00"
Technical Lead,NY,Level III,"86,819.00"
Consultant,IL,Level II,"77,189.00"
Analyst,MN,Level II,"63,814.00"
Software Engineer/Developer,NY,Level II,"71,469.00"
Software Engineer/Developer,TX,Level II,"80,974.00"
Software Engineer/Developer,MD,Level II,"80,704.00"
Technical Lead,CA,Level III,"141,898.00"
Software Engineer/Developer,NC,Level III,"99,029.00"
Postdoctoral Fellow,NC,Level I,"42,973.00"
Technical Lead,MI,Level II,"82,618.00"
Software Engineer/Developer,TX,Level III,"109,886.00"
Software Engineer/Developer,NC,Level IV,"109,179.00"
Project Manager,NY,Level IV,"97,573.00"
Consultant,CA,Level II,"96,762.00"
Software Engineer/Developer,CA,Level II,"77,459.00"
Project Manager,NC,Level IV,"118,394.00"
Technical Lead,AZ,Level II,"73,258.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Research Associate,NY,Level II,"38,064.00"
Software Engineer/Developer,OR,Level II,"90,480.00"
Software Engineer/Developer,NY,Level III,"117,624.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Technical Lead,WA,Level III,"99,882.00"
Project Manager,IL,Level IV,"105,269.00"
Technical Lead,NC,Level II,"63,544.00"
Architect,MA,Level II,"93,621.00"
Analyst,PA,Level II,"71,365.00"
Consultant,TX,Level II,"81,598.00"
Analyst,FL,Level II,"58,282.00"
Analyst,VA,Level II,"77,002.00"
Analyst,MN,Level II,"76,586.00"
Project Manager,IL,Level II,"117,478.00"
Software Engineer/Developer,MA,Level II,"84,698.00"
Analyst,MD,Level II,"72,738.00"
Analyst,NJ,Level II,"89,170.00"
Software Engineer/Developer,OR,Level II,"90,480.00"
Analyst,NC,Level II,"78,978.00"
Manager,TX,Level III,"101,150.00"
Manager,MN,Level IV,"108,763.00"
Manager,NC,Level IV,"107,328.00"
Manager,CA,Level IV,"141,856.00"
Software Engineer/Developer,TX,Level II,"93,538.00"
Software Engineer/Developer,CT,Level II,"93,600.00"
Research Associate,MA,Level I,"49,005.00"
Software Engineer/Developer,PA,Level III,"86,362.00"
Software Engineer/Developer,VA,Level III,"99,362.00"
Assistant Professor,IL,Level II,"96,593.00"
Manager,CO,Level II,"73,590.00"
Analyst,VA,Level II,"93,933.00"
Research Associate,TX,Level II,"93,538.00"
Research Associate,PA,Level II,"90,646.00"
Software Engineer/Developer,CA,Level III,"141,898.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,MI,Level IV,"109,782.00"
Software Engineer/Developer,MI,Level IV,"109,782.00"
Software Engineer/Developer,MI,Level III,"93,954.00"
Consultant,IL,Level IV,"112,403.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Project Manager,NJ,Level III,"114,754.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Project Manager,WA,Level II,"113,318.00"
Software Engineer/Developer,CA,Level I,"94,557.00"
Software Engineer/Developer,MA,Level I,"65,915.00"
Manager,CA,Level III,"122,387.00"
Manager,CA,Level IV,"141,856.00"
Manager,CA,Level IV,"141,856.00"
Manager,NC,Level III,"94,203.00"
Manager,TX,Level IV,"114,899.00"
Manager,NY,Level IV,"135,886.00"
Manager,CA,Level IV,"113,090.00"
Manager,IL,Level III,"90,563.00"
Manager,PA,Level III,"98,654.00"
Analyst,WI,Level I,"56,014.00"
Analyst,NH,Level II,"78,374.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Architect,MN,Level II,"63,814.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Technical Lead,NJ,Level II,"83,138.00"
Software Engineer/Developer,WA,Level I,"53,290.00"
Software Engineer/Developer,CA,Level II,"103,064.00"
Software Engineer/Developer,IL,Level IV,"112,403.00"
Software Engineer/Developer,NJ,Level IV,"138,861.00"
Accountant,CA,Level I,"61,110.00"
Software Engineer/Developer,AR,Level IV,"162,469.00"
Consultant,RI,Level II,"78,624.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Manager,IL,Level IV,"112,403.00"
Consultant,OR,Level II,"78,187.00"
Software Engineer/Developer,IL,Level II,"80,912.00"
Assistant Professor,VT,Level II,"55,578.00"
Consultant,GA,Level II,"75,608.00"
Consultant,GA,Level II,"64,334.00"
Software Engineer/Developer,NE,Level IV,"107,578.00"
Software Engineer/Developer,AZ,Level II,"92,518.00"
Software Engineer/Developer,MI,Level IV,"109,782.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,PA,Level II,"87,610.00"
Consultant,MA,Level I,"65,915.00"
Consultant,OH,Level II,"62,442.00"
Project Manager,NJ,Level III,"102,003.00"
Manager,CA,Level III,"132,184.00"
Research Associate,TX,Level I,"49,733.00"
Software Engineer/Developer,MI,Level III,"89,814.00"
Software Engineer/Developer,CA,Level II,"103,064.00"
Software Engineer/Developer,NH,Level IV,"110,074.00"
Software Engineer/Developer,CA,Level II,"103,064.00"
Research Associate,TX,Level III,"73,050.00"
Consultant,WA,Level II,"84,781.00"
Technical Lead,CA,Level IV,"100,402.00"
Software Engineer/Developer,CA,Level II,"84,885.00"
Software Engineer/Developer,MI,Level III,"96,387.00"
Software Engineer/Developer,NY,Level III,"122,117.00"
Analyst,MI,Level III,"84,885.00"
Software Engineer/Developer,OH,Level II,"47,486.00"
Project Manager,WA,Level II,"90,522.00"
Manager,NJ,Level IV,"117,042.00"
Analyst,CA,Level III,"109,096.00"
Software Engineer/Developer,MI,Level III,"76,877.00"
Software Engineer/Developer,VA,Level II,"80,517.00"
Postdoctoral Fellow,AR,Level I,"42,328.00"
Software Engineer/Developer,CA,Level III,"141,898.00"
Analyst,CO,Level I,"68,765.00"
Postdoctoral Fellow,MD,Level I,"42,328.00"
Analyst,MD,Level III,"98,675.00"
Software Engineer/Developer,TX,Level III,"109,886.00"
Software Engineer/Developer,NJ,Level II,"93,746.00"
Project Manager,CA,Level II,"103,210.00"
Software Engineer/Developer,TX,Level II,"100,235.00"
Software Engineer/Developer,TX,Level II,"93,538.00"
Software Engineer/Developer,NJ,Level II,"96,366.00"
Assistant Professor,AZ,Level I,"41,579.00"
Consultant,PA,Level II,"62,088.00"
Software Engineer/Developer,PA,Level III,"81,245.00"
Accountant,IL,Level I,"57,574.00"
Software Engineer/Developer,CA,Level IV,"155,106.00"
Associate,CA,Level IV,"242,008.00"
Physical Therapist,CA,Level II,"80,725.00"
Software Engineer/Developer,CA,Level III,"132,184.00"
Postdoctoral Fellow,KY,Level I,"41,184.00"
Software Engineer/Developer,CA,Level II,"85,883.00"
Analyst,GA,Level II,"73,944.00"
Software Engineer/Developer,FL,Level IV,"88,296.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Software Engineer/Developer,CA,Level III,"125,112.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Software Engineer/Developer,OH,Level I,"56,784.00"
Analyst,IN,Level II,"68,557.00"
Project Manager,CA,Level III,"104,458.00"
Manager,FL,Level II,"63,648.00"
Assistant Professor,NC,Level I,"47,950.00"
Analyst,NJ,Level II,"74,443.00"
Associate,NC,Level II,"85,426.00"
Software Engineer/Developer,WA,Level I,"92,810.00"
Software Engineer/Developer,WI,Level II,"75,234.00"
Software Engineer/Developer,CA,Level II,"118,456.00"
Software Engineer/Developer,FL,Level IV,"110,178.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Architect,FL,Level IV,"110,178.00"
Assistant Professor,NY,Level IV,"123,011.00"
Software Engineer/Developer,MI,Level III,"93,954.00"
Technical Lead,PA,Level IV,"110,885.00"
Architect,CA,Level III,"141,898.00"
Manager,OK,Level III,"107,994.00"
Analyst,NJ,Level II,"104,208.00"
Software Engineer/Developer,GA,Level II,"84,240.00"
Associate,NJ,Level II,"80,517.00"
Software Engineer/Developer,NY,Level IV,"138,861.00"
Associate,PA,Level II,"48,568.00"
Assistant Professor,TN,Level I,"48,510.00"
Software Engineer/Developer,CO,Level II,"58,344.00"
Software Engineer/Developer,AR,Level III,"65,915.00"
Software Engineer/Developer,NJ,Level III,"89,253.00"
Project Manager,NJ,Level III,"97,843.00"
Analyst,TX,Level III,"87,152.00"
Project Manager,MA,Level I,"89,669.00"
Analyst,PA,Level II,"82,451.00"
Project Manager,NY,Level II,"160,763.00"
Software Engineer/Developer,AR,Level II,"76,523.00"
Technical Lead,FL,Level II,"68,162.00"
Research Associate,NY,Level III,"97,843.00"
Software Engineer/Developer,TX,Level III,"109,886.00"
Consultant,VA,Level II,"84,282.00"
Analyst,GA,Level III,"90,418.00"
Software Engineer/Developer,WA,Level IV,"138,778.00"
Software Engineer/Developer,VA,Level I,"72,862.00"
Technical Lead,CA,Level IV,"164,674.00"
Project Manager,DE,Level II,"103,813.00"
Software Engineer/Developer,VA,Level III,"114,982.00"
Software Engineer/Developer,TX,Level III,"109,886.00"
Technical Lead,CA,Level IV,"142,501.00"
Software Engineer/Developer,DC,Level II,"93,933.00"
Software Engineer/Developer,AR,Level I,"62,130.00"
Software Engineer/Developer,PA,Level II,"87,610.00"
Research Associate,MD,Level I,"43,472.00"
Software Engineer/Developer,FL,Level III,"87,693.00"
Software Engineer/Developer,CA,Level IV,"155,106.00"
Architect,WA,Level II,"74,048.00"
Project Manager,TX,Level IV,"116,854.00"
Analyst,TX,Level II,"75,712.00"
Software Engineer/Developer,AR,Level II,"76,523.00"
Analyst,VA,Level II,"84,926.00"
Software Engineer/Developer,NE,Level III,"89,024.00"
Software Engineer/Developer,CA,Level III,"132,184.00"
Software Engineer/Developer,AR,Level II,"76,523.00"
Software Engineer/Developer,CA,Level II,"102,669.00"
Software Engineer/Developer,NJ,Level I,"75,130.00"
Software Engineer/Developer,CA,Level IV,"155,106.00"
Software Engineer/Developer,NJ,Level II,"96,366.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Software Engineer/Developer,MO,Level II,"69,368.00"
Software Engineer/Developer,CA,Level I,"80,995.00"
Assistant Professor,IL,Level II,"101,597.00"
Software Engineer/Developer,TX,Level II,"88,483.00"
Assistant Professor,PA,Level II,"36,587.00"
Software Engineer/Developer,CA,Level III,"138,091.00"
Consultant,GA,Level I,"63,710.00"
Consultant,SC,Level III,"105,893.00"
Software Engineer/Developer,VA,Level II,"80,517.00"
Software Engineer/Developer,NJ,Level II,"96,366.00"
Consultant,CT,Level III,"100,464.00"
Software Engineer/Developer,TX,Level II,"88,483.00"
Software Engineer/Developer,CA,Level IV,"164,674.00"
Software Engineer/Developer,AR,Level III,"90,917.00"
Software Engineer/Developer,NY,Level II,"96,366.00"
Software Engineer/Developer,NJ,Level III,"117,624.00"
Software Engineer/Developer,VA,Level III,"100,339.00"
Software Engineer/Developer,MA,Level III,"103,501.00"
Software Engineer/Developer,CA,Level II,"96,762.00"
Associate,CO,Level I,"43,618.00"
Software Engineer/Developer,MA,Level II,"84,698.00"
Research Associate,MA,Level II,"50,731.00"
Consultant,CA,Level I,"83,429.00"
Software Engineer/Developer,CA,Level II,"91,395.00"
Technical Lead,IL,Level III,"90,563.00"
Project Manager,NY,Level II,"79,768.00"
Analyst,CA,Level II,"102,898.00"
Software Engineer/Developer,OK,Level II,"65,915.00"
Research Associate,CT,Level II,"73,133.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Software Engineer/Developer,OH,Level I,"67,621.00"
Consultant,TX,Level IV,"126,235.00"
Software Engineer/Developer,WA,Level II,"113,318.00"
Project Manager,WA,Level III,"133,806.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Project Manager,NJ,Level II,"79,498.00"
Software Engineer/Developer,FL,Level IV,"106,122.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Architect,TX,Level II,"93,538.00"
Software Engineer/Developer,PA,Level II,"90,646.00"
Software Engineer/Developer,CA,Level III,"132,184.00"
Technical Lead,PA,Level III,"99,154.00"
Technical Lead,CA,Level II,"109,242.00"
Technical Lead,CA,Level II,"109,242.00"
Project Manager,MA,Level IV,"119,704.00"
Technical Lead,WI,Level II,"68,557.00"
Manager,CA,Level IV,"205,691.00"
Software Engineer/Developer,CA,Level II,"91,395.00"
Architect,NY,Level II,"74,443.00"
Software Engineer/Developer,NY,Level II,"70,346.00"
Software Engineer/Developer,NY,Level II,"96,366.00"
Analyst,WA,Level II,"74,048.00"
Software Engineer/Developer,NC,Level II,"88,670.00"
Software Engineer/Developer,TX,Level III,"109,886.00"
Analyst,CA,Level II,"76,211.00"
Project Manager,CA,Level III,"119,704.00"
Software Engineer/Developer,CA,Level II,"121,077.00"
Analyst,IL,Level III,"90,563.00"
Research Associate,TX,Level II,"62,192.00"
Analyst,IL,Level III,"90,563.00"
Manager,IL,Level III,"90,563.00"
Analyst,NC,Level II,"76,378.00"
Analyst,NH,Level II,"78,374.00"
Analyst,OR,Level IV,"108,035.00"
Manager,NJ,Level III,"114,754.00"
Project Manager,RI,Level IV,"97,635.00"
Analyst,CA,Level III,"102,482.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Software Engineer/Developer,WA,Level III,"133,806.00"
Architect,WA,Level III,"94,827.00"
Project Manager,CA,Level II,"63,232.00"
Consultant,NJ,Level II,"93,642.00"
Consultant,NY,Level III,"97,843.00"
Architect,TX,Level III,"97,864.00"
Technical Lead,FL,Level II,"71,656.00"
Software Engineer/Developer,AR,Level I,"62,130.00"
Software Engineer/Developer,AR,Level I,"62,130.00"
Project Manager,TX,Level IV,"114,899.00"
Software Engineer/Developer,IL,Level II,"80,912.00"
Analyst,TX,Level II,"77,979.00"
Software Engineer/Developer,MA,Level I,"65,915.00"
Technical Lead,TX,Level II,"77,792.00"
Analyst,CA,Level III,"103,917.00"
Postdoctoral Fellow,PA,Level I,"42,723.00"
Software Engineer/Developer,NY,Level I,"56,742.00"
Software Engineer/Developer,NJ,Level II,"93,746.00"
Project Manager,ME,Level II,"64,210.00"
Analyst,CO,Level I,"68,765.00"
Analyst,IA,Level I,"50,357.00"
Software Engineer/Developer,CA,Level II,"119,101.00"
Software Engineer/Developer,MA,Level II,"84,698.00"
Software Engineer/Developer,NJ,Level II,"96,366.00"
Research Associate,GA,Level III,"56,285.00"
Manager,CA,Level IV,"105,581.00"
Research Associate,MD,Level I,"43,472.00"
Software Engineer/Developer,NJ,Level II,"96,366.00"
Postdoctoral Fellow,WA,Level I,"38,646.00"
Software Engineer/Developer,VA,Level II,"84,302.00"
Consultant,CA,Level II,"83,325.00"
Architect,NY,Level III,"122,117.00"
Software Engineer/Developer,OH,Level II,"87,693.00"
Software Engineer/Developer,DC,Level III,"114,982.00"
Project Manager,OH,Level II,"80,205.00"
Technical Lead,PA,Level III,"83,886.00"
Research Associate,CT,Level II,"49,296.00"
Software Engineer/Developer,TX,Level II,"85,467.00"
Software Engineer/Developer,TX,Level II,"91,915.00"
Software Engineer/Developer,TX,Level II,"93,538.00"
Consultant,IA,Level II,"58,968.00"
Software Engineer/Developer,VA,Level II,"69,534.00"
Software Engineer/Developer,NJ,Level II,"96,366.00"
Software Engineer/Developer,MN,Level II,"98,488.00"
Technical Lead,WA,Level II,"133,702.00"
Software Engineer/Developer,WI,Level II,"75,234.00"
Software Engineer/Developer,PA,Level IV,"123,365.00"
Software Engineer/Developer,CA,Level IV,"124,592.00"
Software Engineer/Developer,OH,Level II,"52,582.00"
Research Associate,TX,Level II,"34,570.00"
Assistant Professor,CA,Level II,"54,517.00"
Assistant Professor,AZ,Level I,"61,690.00"
Project Manager,NY,Level I,"54,205.00"
Software Engineer/Developer,NY,Level II,"96,366.00"
Research Associate,WA,Level I,"43,347.00"
Project Manager,UT,Level IV,"111,904.00"
Analyst,NY,Level III,"113,776.00"
Software Engineer/Developer,OR,Level II,"90,480.00"
Manager,FL,Level IV,"96,304.00"
Manager,CA,Level IV,"111,280.00"
Software Engineer/Developer,CA,Level II,"109,242.00"
Manager,MA,Level IV,"106,746.00"
Manager,NJ,Level III,"114,754.00"
Software Engineer/Developer,NY,Level III,"117,624.00"
Software Engineer/Developer,DC,Level II,"93,933.00"
Software Engineer/Developer,DC,Level III,"114,982.00"
Technical Lead,DC,Level IV,"144,872.00"
Architect,TX,Level II,"80,974.00"
Software Engineer/Developer,MA,Level III,"94,931.00"
Software Engineer/Developer,MA,Level IV,"122,283.00"
Architect,NY,Level IV,"68,182.00"
Assistant Professor,IL,Level III,"95,117.00"
Manager,NJ,Level I,"127,941.00"
Project Manager,TX,Level II,"75,733.00"
Accountant,TX,Level I,"52,000.00"
Consultant,MA,Level IV,"140,546.00"
Research Associate,OH,Level III,"82,659.00"
Analyst,PA,Level II,"73,362.00"
Postdoctoral Fellow,MN,Level I,"42,120.00"
Manager,MA,Level I,"89,669.00"
Analyst,GA,Level II,"65,312.00"
Architect,NJ,Level III,"117,624.00"
Project Manager,CA,Level III,"82,597.00"
Software Engineer/Developer,CA,Level II,"118,456.00"
Project Manager,CA,Level II,"89,398.00"
Technical Lead,WA,Level II,"74,048.00"
Technical Lead,CA,Level II,"120,869.00"
Analyst,MO,Level II,"75,795.00"
Research Associate,TX,Level III,"30,534.00"
Postdoctoral Fellow,MO,Level I,"41,267.00"
Research Associate,GA,Level I,"40,810.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Research Associate,MA,Level II,"70,304.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Assistant Professor,MD,Level I,"44,010.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Software Engineer/Developer,TX,Level I,"67,184.00"
Software Engineer/Developer,CA,Level III,"110,219.00"
Research Associate,PA,Level II,"54,954.00"
Software Engineer/Developer,CA,Level I,"98,342.00"
Research Associate,TX,Level I,"41,184.00"
Research Associate,MO,Level I,"41,725.00"
Research Associate,PA,Level I,"30,514.00"
Assistant Professor,KS,Level II,"43,313.00"
Architect,GA,Level IV,"113,610.00"
Software Engineer/Developer,NC,Level I,"63,669.00"
Postdoctoral Fellow,PA,Level I,"41,434.00"
Software Engineer/Developer,TX,Level II,"72,613.00"
Software Engineer/Developer,CA,Level I,"80,184.00"
Manager,PA,Level I,"38,875.00"
Accountant,CA,Level II,"74,277.00"
Software Engineer/Developer,NY,Level III,"97,000.00"
Software Engineer/Developer,IL,Level II,"83,366.00"
Software Engineer/Developer,CA,Level III,"97,000.00"
Analyst,OH,Level III,"85,259.00"
Analyst,NY,Level II,"85,155.00"
Associate,TX,Level II,"75,982.00"
