JOB_TITLE,WORKSITE_STATE,PW_WAGE_LEVEL,PREVAILING_WAGE
APPLICATION DEVELOPER,NC,Level II,"77,730.00"
RESEARCH SCIENTIST,NY,Level III,"88,130.00"
SOFTWARE DEVELOPER,CA,Level II,"88,358.00"
STATISTICAL  PROGRAMMER,NJ,Level II,"87,464.00"
MARKETING MANAGER,NY,Level II,"111,653.00"
"ASSOCIATE, INFRASTRUCTURE DATA SCIENTIST",OH,Level III,"92,893.00"
ASSOCIATE,NY,Level II,"80,517.00"
HIGH SCHOOL FRENCH TEACHER,MD,Level II,"63,287.00"
DATABASE ADMINISTRATOR,GA,Level II,"77,501.00"
MTS CONSULTANT-SYSTEMS ENGINEERING,GA,Level III,"104,790.00"
SOFTWARE ENGINEER - CORE,CA,Level II,"119,101.00"
CLINICAL ASSISTANT PROFESSOR,OH,Level I,"50,190.00"
ENGINEER,AZ,Level II,"63,939.00"
DEVELOPER USER INTERFACE,CT,Level II,"66,872.00"
DEVELOPER USER INTERFACE,TX,Level II,"64,334.00"
"MANAGER, MARKETING DEPARTMENT",NY,Level II,"111,653.00"
LEAD BUSINESS SYSTEM ENGINEER,NV,Level III,"94,266.00"
SOFTWARE DEVELOPER,IL,Level IV,"112,403.00"
CONSULTANT - US,OH,Level II,"81,182.00"
DESIGNER,OH,Level III,"70,054.00"
SENIOR SOLUTION ARCHITECT,MA,Level IV,"113,589.00"
PRODUCT DEVELOPMENT ENGINEER,AZ,Level II,"87,069.00"
SR. DATA ENGINEER,CA,Level II,"90,938.00"
POSTDOCTORAL ASSOCIATE/FELLOW,TX,Level I,"38,646.00"
DEVELOPMENT ARCHITECT,CA,Level III,"132,184.00"
SOFTWARE ENGINEER II,NJ,Level III,"103,834.00"
STAFF DESIGN ENGINEER,CA,Level IV,"152,526.00"
PEGA DEVELOPER,VA,Level III,"64,418.00"
FASHION DESIGNER,NY,Level I,"47,299.00"
SOFTWARE QA ANALYST,FL,Level II,"61,506.00"
SOFTWARE DEVELOPER,NY,Level II,"96,366.00"
SENIOR GRAPHIC DESIGNER,NY,Level II,"54,517.00"
APPLICATION DEVELOPER,MI,Level II,"57,096.00"
APPLICATION ARCHITECT,AZ,Level II,"72,301.00"
SENIOR CONSULTANT,CA,Level II,"103,064.00"
SOFTWARE ARCHITECT,TX,Level II,"91,915.00"
"SR. DEVELOPER, IT APPLICATIONS",TX,Level II,"85,467.00"
SOFTWARE ENGINEER,CA,Level III,"132,184.00"
PRINCIPAL - BUSINESS CONSULTING,PA,Level IV,"80,350.00"
CONSULTANT - US - PROFESSIONAL,WA,Level II,"85,342.00"
SENIOR TECHNOLOGY ARCHITECT - US,CA,Level IV,"148,803.00"
SOFTWARE ENGINEER,CA,Level II,"87,152.00"
SENIOR MANAGER,NY,Level IV,"92,019.00"
SOFTWARE DEVELOPER,MA,Level II,"84,698.00"
SOFTWARE ENGINEER STAFF,CA,Level III,"141,898.00"
ITDS TECHNICAL ANALYST- SR.,NC,Level III,"94,203.00"
ENGINEER,CA,Level II,"73,549.00"
SENIOR SOFTWARE ENGINEER,WA,Level III,"133,806.00"
SOFTWARE ENGINEER,PA,Level II,"72,779.00"
PRINCIPAL SOFTWARE ENGINEER,CA,Level IV,"155,106.00"
PRINCIPAL SOFTWARE ENGINEERING MANAGER,WA,Level IV,"154,315.00"
LEAD ENGINEER,AL,Level II,"76,565.00"
LEAD ENGINEER,TX,Level II,"73,445.00"
SOFTWARE ENGINEER 2,WA,Level II,"113,318.00"
TECHNICAL ARCHITECT,VA,Level II,"93,933.00"
SENIOR MANAGER,PA,Level IV,"99,944.00"
MANAGER,WA,Level I,"105,165.00"
SPECIALIST MASTER,FL,Level III,"96,658.00"
LEAD CREATIVE DESIGNER,MI,Level IV,"94,723.00"
ASSISTANT PROFESSOR,MA,Level II,"89,827.00"
WORKDAY ANALYST,IL,Level II,"100,090.00"
SOFTWARE ENGINEER,NJ,Level II,"96,366.00"
SOFTWARE ENGINEER,NJ,Level II,"96,366.00"
ADVANCED VIDEO ENGINEER II,CO,Level I,"85,426.00"
TECHNICAL PROJECT MANAGER - PBM,NC,Level IV,"102,190.00"
MIDDLEWARE ADMINISTRATOR,MO,Level II,"92,040.00"
SENIOR SOFTWARE ENGINEER,PA,Level II,"90,646.00"
SENIOR SOFTWARE ENGINEER,MO,Level II,"75,795.00"
ASSOCIATE SENIOR SOFTWARE ENGINEER,MO,Level I,"61,256.00"
"MTS 1, SOFTWARE ENGINEER",CA,Level IV,"155,106.00"
PROJECT MANAGER,NY,Level I,"122,408.00"
SOFTWARE DEVELOPER,MI,Level II,"81,474.00"
ASSOCIATE SENIOR PRODUCTION SOFTWARE ENGINEER,MO,Level I,"61,256.00"
APPLICATION ARCHITECT,VA,Level II,"84,282.00"
MECHANICAL ENGINEER,SC,Level II,"78,458.00"
QA ANALYST,NJ,Level II,"58,614.00"
QUALITY ASSURANCE ANALYST,GA,Level II,"72,301.00"
PHARMACIST,SC,Level III,"118,102.00"
SPECIALIST REGULATORY OPERATIONS,MD,Level II,"66,518.00"
ANDROID DEVELOPER,MI,Level III,"96,470.00"
SOFTWARE ENGINEER,MO,Level II,"85,925.00"
DIRECTOR PRODUCT MANAGEMENT,IL,Level III,"91,728.00"
SOFTWARE ENGINEER,CA,Level III,"147,597.00"
SR. DEVOPS ENGINEER,NJ,Level III,"103,834.00"
MANAGER,WI,Level II,"67,538.00"
SOFTWARE ENGINEER,GA,Level II,"84,240.00"
SOFTWARE DEVELOPER,TX,Level III,"109,886.00"
PROGRAMMER ANALYST,AZ,Level II,"81,266.00"
DATA ENGINEER (ETL DEVELOPER),CA,Level II,"109,242.00"
SOFTWARE DEVELOPMENT TEST ENGINEER,TX,Level II,"85,467.00"
ASSISTANT PROFESSOR OF MICROBIOLOGY AND PROKARYOTIC GENETICS,DC,Level II,"73,770.00"
SENIOR PROGRAM MANAGER,MI,Level IV,"104,021.00"
SR. DEVELOPER,GA,Level III,"104,790.00"
ARCHITECT,GA,Level III,"104,790.00"
BUSINESS INTELLIGENCE DEVELOPER,OH,Level II,"58,843.00"
SENIOR DATA ENGINEER,TX,Level III,"109,886.00"
RESEARCH SCIENTIST,NY,Level III,"76,918.00"
PROGRAM AND PROJECT MANAGEMENT ASSOCIATE MANAGER,IL,Level III,"96,325.00"
SENIOR SERVICES ARCHITECT,GA,Level III,"90,397.00"
TECHNICAL LEADER,OR,Level III,"93,101.00"
PRINCIPAL SOFTWARE ENGINEER/DEVELOPER,UT,Level III,"97,864.00"
SENIOR SOFTWARE ENGINEER,MN,Level IV,"109,928.00"
"LEAD II, SOFTWARE DEVELOPMENT",NY,Level III,"117,624.00"
POSTDOCTORAL SCIENTIST,CA,Level I,"43,971.00"
"ENGINEER II, ELECTRICAL",OR,Level II,"81,619.00"
LEAD DEVELOPER,IL,Level II,"80,912.00"
SOFTWARE ENGINEER 1615.23073,NY,Level III,"117,624.00"
PROJECT ENGINEER,TX,Level II,"92,456.00"
DEVELOPER,TX,Level III,"87,734.00"
DEVELOPER,IL,Level II,"68,266.00"
BUSINESS STRATEGY MANAGER,TX,Level IV,"145,558.00"
SOFTWARE DEVELOPMENT STAFF ENGINEER,CA,Level II,"119,101.00"
SOFTWARE ENGINEER 1615.42327,CA,Level II,"109,242.00"
LEAD ESTIMATOR,TX,Level III,"77,813.00"
SPECIALIST SENIOR,IL,Level II,"78,957.00"
COMPUTER SYSTEMS ANALYSTS,MA,Level II,"78,666.00"
APPLICATION ARCHITECT 3,AZ,Level III,"97,968.00"
SENIOR SYSTEMS ANALYST JC60,PA,Level II,"82,451.00"
POSTDOCTORAL RESEARCH ASSOCIATE,IL,Level I,"41,163.00"
JAVA  DEVELOPER,AZ,Level II,"81,266.00"
ASSOCIATE SPECIALIST,CA,Level III,"64,522.00"
PHYSICAL THERAPIST,MI,Level II,"75,774.00"
SOFTWARE ENGINEER,MD,Level I,"79,061.00"
ANDROID DEVELOPER,MI,Level I,"62,296.00"
SOFTWARE ENGINEER,PA,Level III,"86,362.00"
ANDROID DEVELOPER,MI,Level II,"78,125.00"
MANAGING DIRECTOR,IA,Level IV,"80,350.00"
ASSOCIATE SENIOR SOFTWARE ENGINEER,MO,Level I,"61,256.00"
"NETSUITE ADMINISTRATION, ANALYST",NY,Level II,"96,366.00"
INTERIOR DEIGNER,CA,Level II,"61,152.00"
TECHNICAL TEST LEAD - US - PROFESSIONAL,GA,Level II,"72,301.00"
SOLUTION DATA ARCHITECT,GA,Level IV,"108,555.00"
DEVELOPER,PA,Level II,"73,362.00"
ARCHITECT,GA,Level II,"72,301.00"
PRINCIPAL SOFTWARE ENGINEER,CA,Level IV,"174,117.00"
"ASSISTANT PROFESSOR, PHARMACEUTICAL SCIENCES",CT,Level I,"70,930.00"
LEAD SOFTWARE ENGINEER,TX,Level III,"109,886.00"
DOCUMENT MANAGEMENT ANALYST,TX,Level II,"75,733.00"
RESEARCH SCIENTIST I,CA,Level IV,"70,304.00"
SYSTEMS TEST ENGINEER,MI,Level IV,"105,851.00"
UI/UX DESIGNER,CA,Level IV,"100,339.00"
SYSTEMS ANALYST,GA,Level III,"90,397.00"
SOFTWARE ENGINEER,TX,Level II,"88,483.00"
SOFTWARE DEVELOPER (HADOOP),NC,Level II,"88,670.00"
ASSOCIATE RESEARCH SCHOLAR,NJ,Level I,"47,070.00"
MANAGER JC50,AZ,Level III,"89,523.00"
SENIOR SYSTEMS ANALYST JC60,NJ,Level II,"83,138.00"
SENIOR SYSTEMS ANALYST JC60,MO,Level II,"77,667.00"
SENIOR SYSTEMS ANALYST JC60,NJ,Level II,"83,138.00"
DATA QUALITY ANALYST,IA,Level III,"88,982.00"
SYSTEMS ANALYST JC65,NC,Level I,"63,752.00"
SOFTWARE ENGINEER,NJ,Level IV,"120,182.00"
SYSTEMS ANALYST JC65,MO,Level I,"62,754.00"
SENIOR SYSTEMS ANALYST JC60,WA,Level II,"85,342.00"
SENIOR SYSTEMS ANALYST JC60,OH,Level II,"81,182.00"
MANAGER JC50,NH,Level III,"91,270.00"
SENIOR SYSTEMS ANALYST JC60,NC,Level II,"71,115.00"
SENIOR SYSTEMS ANALYST JC60,IL,Level II,"75,837.00"
SYSTEMS ANALYST JC65,IL,Level I,"61,131.00"
SENIOR SYSTEMS ANALYST JC60,NJ,Level II,"93,642.00"
SENIOR SYSTEMS ANALYST JC60,NY,Level II,"93,642.00"
SENIOR SYSTEMS ANALYST JC60,MA,Level II,"78,936.00"
SYSTEM ANALYST JC65,IL,Level II,"76,502.00"
HIGH SCHOOL MATH TEACHER,TX,Level II,"57,887.00"
MANAGER JC50,CO,Level III,"98,010.00"
SENIOR SYSTEMS ANALYST JC60,AR,Level II,"57,242.00"
SENIOR SYSTEMS ANALYST JC60,WA,Level II,"85,342.00"
MANAGER JC50,CA,Level III,"102,482.00"
SYSTEM ANALYST JC65,IL,Level II,"75,837.00"
SENIOR SYSTEMS ANALYST JC60,TX,Level II,"80,850.00"
SENIOR SYSTEMS ANALYST JC60,OH,Level II,"81,182.00"
SENIOR SYSTEMS ANALYST JC60,VA,Level II,"79,498.00"
SYSTEM ANALYST JC65,IL,Level II,"75,837.00"
MANAGER JC50,CA,Level III,"94,016.00"
SOFTWARE DEVELOPER,WA,Level II,"113,318.00"
MANAGER JC50,CA,Level III,"118,019.00"
SENIOR SYSTEMS ANALYST JC60,CA,Level II,"76,773.00"
POSTDOCTORAL ASSOCIATE,MN,Level I,"46,800.00"
FUNCTIONAL SYSTEMS ANALYST STAFF,CA,Level III,"118,019.00"
SOFTWARE ENGINEER,CA,Level III,"147,597.00"
SOFTWARE ENGINEER III,AR,Level II,"76,523.00"
ASSISTANT VICE PRESIDENT,NC,Level III,"100,963.00"
ANALYST,CA,Level III,"118,019.00"
PRINCIPAL SOFTWARE ENGINEER/DEVELOPER,MA,Level III,"103,501.00"
"MTS 1, SOFTWARE ENGINEER",CA,Level IV,"155,106.00"
VALIDATION HIL ENGINEER,MI,Level I,"63,752.00"
APPLICATION DEVELOPER,MA,Level IV,"122,283.00"
PROGRAM MANAGER,WI,Level II,"104,291.00"
INSTRUCTIONAL TECHNOLOGIST,TX,Level II,"41,538.00"
GROUP SOFTWARE MANAGER,NJ,Level III,"102,003.00"
FACETS ARCHITECT,NY,Level II,"96,366.00"
TECHNICAL ARCHITECT,TX,Level III,"109,886.00"
SENIOR SOFTWARE ENGINEER,PA,Level IV,"99,944.00"
SENIOR SOFTWARE ENGINEER,PA,Level IV,"99,944.00"
OPERATIONS RESEARCH ANALYST (STRATEGY AND GROWTH MANAGER),CA,Level IV,"105,581.00"
SENIOR SOFTWARE ENGINEER,CA,Level III,"132,184.00"
SOFTWARE ENGINEER,WA,Level II,"113,318.00"
SOFTWARE ENGINEER / DEVELOPER,OK,Level II,"57,949.00"
SOFTWARE ENGINEER,WA,Level II,"113,318.00"
SENIOR SYSTEMS ANALYST JC60,VA,Level II,"79,498.00"
SENIOR MANAGER JC45,NE,Level IV,"93,122.00"
MANAGER JC50,CA,Level III,"118,019.00"
INFORMATION ARCHITECT,NY,Level IV,"121,222.00"
MANAGER JC50,VA,Level III,"104,187.00"
MANAGER JC50,NJ,Level III,"100,090.00"
SENIOR MANAGER JC45,IL,Level IV,"106,309.00"
OBRM CONSULTANT,NY,Level II,"77,022.00"
SR. BUSINESS SYSTEMS ANALYST,KY,Level IV,"100,339.00"
SR. SOFTWARE QUALITY ENGINEER/SR. TECHNICAL QUALITY SPECIALI,PA,Level III,"77,563.00"
SYSTEMS SPECIALIST,OR,Level II,"90,480.00"
SR. CONSULTANT BILLING,MS,Level II,"84,906.00"
QA AUTOMATION LEAD,RI,Level IV,"97,635.00"
SR. STAFF DESIGN VERIFICATION ENGINEER,CA,Level IV,"152,526.00"
SALESFORCE DEVELOPER,FL,Level II,"73,819.00"
SOFTWARE ENGINEER,WA,Level II,"120,000.00"
SOFTWARE ENGINEER,VA,Level II,"80,517.00"
CONSULTANT-BIG DATA,TX,Level III,"117,853.00"
PHYSICIAN - FAMILY MEDICINE,NY,Level I,"137,738.00"
PROGRAMMER ANALYST,CA,Level II,"87,714.00"
LEAD SOFTWARE ENGINEER,PA,Level IV,"122,304.00"
JAVA DEVELOPER,NC,Level II,"88,670.00"
BUILD AND RELEASE ENGINEER,GA,Level II,"84,240.00"
VMWARE AUTOMATION ENGINEER,MO,Level III,"84,365.00"
PRINCIPLE LTE RAN ENGINEER,NC,Level II,"89,898.00"
FULL STACK JAVA DEVELOPER,MD,Level II,"80,704.00"
ADOBE EXPERIENCE MANAGER ADMIN,DE,Level II,"86,466.00"
CRM DYNAMICS DEVELOPER,PA,Level II,"90,646.00"
ASSISTANT INSTRUCTOR,TX,Level I,"41,766.00"
ASSISTANT PROFESSOR,GA,Level I,"54,680.00"
PRODUCT MANAGEMENT SPECIALIST III,CA,Level II,"71,448.00"
APPLICATION SUPPORT ENGINEER,MN,Level III,"94,058.00"
CONSULTANT,PA,Level I,"63,398.00"
ARCHITECT,MN,Level II,"63,814.00"
SYSTEM ADMINISTRATOR,IL,Level II,"76,482.00"
DEVELOPER,KY,Level II,"65,021.00"
FACETS ARCHITECT,NY,Level II,"96,366.00"
MICROSOFT DYNAMICS CRM DEVELOPER,GA,Level III,"104,790.00"
SENIOR SOFTWARE ENGINEER,WA,Level III,"133,806.00"
IVR/J2EE DEVELOPER,GA,Level IV,"103,501.00"
CLOUD SOLUTION ARCHITECT,WA,Level III,"94,827.00"
SENIOR SOFTWARE ENGINEER,WA,Level III,"133,806.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
DATA SCIENTIST,WA,Level II,"119,850.00"
IT APPLICATION DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
SOFTWARE DEVELOPMENT ENGINEER I,WA,Level I,"92,810.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
ACCOUNTANTS AND AUDITORS,FL,Level III,"67,558.00"
SOFTWARE ENGINEER,WA,Level I,"92,810.00"
COMPUTER SYSTEMS ENGINEER/ ARCHITECT,NJ,Level II,"74,443.00"
APPLICATION DEVELOPER,MD,Level II,"91,062.00"
FINANCIAL QUANTITATIVE ANALYSTS,TX,Level II,"62,130.00"
PERFORMANCE ENGINEERING ARCHITECT,PA,Level III,"107,786.00"
SENIOR DEVELOPER,NJ,Level III,"117,624.00"
SR. BUSINESS ANALYST,NJ,Level IV,"135,886.00"
SOFTWARE ENGINEER,VA,Level III,"114,982.00"
SOFTWARE ENGINEER,PA,Level III,"86,362.00"
PROJECT DELIVERY MANAGER II,TX,Level III,"105,435.00"
SENIOR SOFTWARE ENGINEER,PA,Level II,"90,646.00"
ASSOCIATE SENIOR SOFTWARE ENGINEER,PA,Level I,"74,818.00"
"ASSISTANT PROFESSOR, COLLEGE OF HOSPITALITY",NV,Level I,"32,900.00"
RISK ANALYST 5,MD,Level IV,"76,877.00"
SOFTWARE ENGINEER 1615.42336.1,WA,Level III,"133,806.00"
ASSISTANT PROFESSOR (RESEARCH TRACK),MO,Level III,"68,806.00"
SENIOR ANALYTICS ASSOCIATE,CA,Level II,"68,307.00"
BATTERY ALGORITHMS MANAGER (17-2141.02),CA,Level IV,"101,629.00"
"DIRECTOR, DEVELOPMENT OPERATIONS",WA,Level III,"134,035.00"
RESEARCH ASSOCIATE-- NEUROSCIENCE,PA,Level II,"48,568.00"
"ASSOCIATE SCIENTIST I, PHARMACEUTICAL DEVELOPMENT",FL,Level II,"50,336.00"
FLIGHT CONTROLS SOFTWARE ENGINEER,CA,Level II,"119,101.00"
QUALITY ASSURANCE SOFTWARE ENGINEER- SERVER,CA,Level II,"91,395.00"
QUALITY ASSURANCE DATA REVIEWER,NJ,Level II,"78,707.00"
SENIOR SOFTWARE ENGINEER,WA,Level III,"133,806.00"
QA ENGINEER,CA,Level I,"69,056.00"
USER EXPERIENCE DESIGNER,MA,Level III,"105,976.00"
PROGRAMMER ANALYST,MA,Level II,"73,320.00"
SR. SOFTWARE DEVELOPER,IL,Level III,"96,658.00"
BUSINESS SYSTEM ANALYST,MA,Level II,"80,683.00"
ACCOUNTANTS AND AUDITORS,NC,Level III,"79,602.00"
HARDWARE ENGINEERING PROGRAM MANAGER,WA,Level I,"88,920.00"
CONSULTANT,CA,Level II,"84,406.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
USER EXPERIENCE ENGINEER,WA,Level III,"111,925.00"
SOFTWARE ENGINEER,WA,Level II,"113,318.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
PROGRAM MANAGER,WA,Level II,"113,318.00"
SERVICE NOW IT CONSULTANT,TX,Level II,"93,538.00"
DATA ENGINEER II,WA,Level II,"81,266.00"
SOFTWARE ENGINEER,WA,Level I,"92,810.00"
PRINCIPAL SOFTWARE ENGINEER,WA,Level IV,"154,315.00"
SOFTWARE ENGINEER 2,WA,Level II,"113,318.00"
SOFTWARE DEVELOPER,CA,Level II,"109,242.00"
SOFTWARE DEVELOPER,TX,Level II,"88,483.00"
MANAGER,PA,Level III,"105,290.00"
SOFTWARE DEVELOPER,MA,Level II,"84,698.00"
SENIOR CONSULTANT,CA,Level II,"91,395.00"
SALES DIRECTOR,OH,Level II,"105,872.00"
SOFTWARE DEVELOPER,MA,Level II,"84,698.00"
SOFTWARE DEVELOPER,MA,Level II,"84,698.00"
SOFTWARE DEVELOPER,MA,Level II,"84,698.00"
SPECIALIST SENIOR,IL,Level II,"89,648.00"
TEST SPECIALIST,NJ,Level II,"74,443.00"
SAP LOGISTICS CONSULTANT,PA,Level III,"98,654.00"
PROGRAM MANAGER,OH,Level II,"74,526.00"
TECHNICAL LEAD,GA,Level II,"71,739.00"
.NET DEVELOPER,GA,Level II,"84,240.00"
CONSULTANT,NY,Level I,"76,419.00"
SENIOR TECHNICAL ARCHITECT,WI,Level II,"57,117.00"
SR. COMPUTER PROGRAMMER ANALYST II,CA,Level II,"86,112.00"
TECHNICAL CRM MANAGER,VA,Level II,"84,926.00"
ASSOCIATE LEAD SOFTWARE ENGINEER,PA,Level III,"106,475.00"
SENIOR CONSULTANT,FL,Level III,"91,645.00"
"DIRECTOR, PRODUCT DEVELOPMENT",VA,Level II,"149,677.00"
SOLUTION DEVELOPER II,CA,Level II,"104,874.00"
DHSR IT ENTERPRISE .NET DEVELOPER,NC,Level II,"85,426.00"
ASSOCIATE SCIENTIST,VA,Level I,"73,174.00"
CRM/SALES FORCE ANALYST,PA,Level II,"81,286.00"
CONSULTANT- BIG DATA,NY,Level III,"122,117.00"
FINANCIAL ANALYST,NJ,Level I,"69,389.00"
SOLUTIONS ARCHITECT,MI,Level III,"89,814.00"
SENIOR SOLUTION ARCHITECT,NJ,Level III,"117,624.00"
VICE PRESIDENT,NY,Level III,"117,624.00"
LEGAL COORDINATOR,NY,Level III,"81,910.00"
"LEADER, DIGITAL CAPABILITIES MANAGEMENT",MA,Level IV,"97,573.00"
SENIOR SOFTWARE DEVELOPER,IN,Level III,"85,987.00"
STAFF PSYCHOLOGIST,IL,Level III,"51,501.00"
SOFTWARE DEVELOPER,NJ,Level II,"87,464.00"
SENIOR IT ANALYST,PA,Level III,"86,362.00"
"SOFTWARE DEVELOPER, APPLICATIONS",OH,Level II,"62,442.00"
VICE PRESIDENT,DE,Level III,"102,170.00"
SR. JAVA DEVELOPER,WA,Level II,"113,318.00"
SENIOR SOFTWARE DEVELOPER,PA,Level III,"106,475.00"
LEAD SOFTWARE DEVELOPER,CO,Level III,"103,376.00"
PETROLEUM ENGINEER,TX,Level I,"97,573.00"
POSTDOCTORAL RESEARCH ASSOCIATE,MO,Level I,"42,328.00"
"STATISTICIAN, REAL WORLD DATA SCIENCE",CA,Level III,"121,805.00"
PRODUCTION ANALYST,CA,Level I,"37,232.00"
REGIONAL CONTROLLER,FL,Level III,"87,402.00"
JAVA DEVELOPER,CA,Level II,"99,320.00"
TEAM LEADER,NJ,Level II,"74,443.00"
SOFTWARE DEVELOPER,NJ,Level II,"93,746.00"
ASSOCIATE LEAD SOFTWARE ENGINEER,MO,Level III,"90,334.00"
APPLICATION ARCHITECT,VA,Level III,"99,674.00"
ENGINEERING MANAGER,PA,Level III,"106,475.00"
LEAD SOFTWARE ENGINEER,MO,Level IV,"104,874.00"
TECHNICAL LEAD,CA,Level II,"121,077.00"
SOFTWARE ENGINEER,TX,Level II,"93,538.00"
DATABASE ADMINISTRATOR,OK,Level III,"73,923.00"
PROGRAMMER ANALYST-III,TX,Level III,"86,403.00"
CLINICAL DATA ANALYST PROGRAMMER,MA,Level II,"82,618.00"
TECHNICAL AGILE CONSULTANT,VA,Level III,"114,982.00"
SYSTEMS ENGINEER I,HI,Level II,"75,192.00"
SR SOFTWARE DEVELOPER,TX,Level II,"94,000.00"
SOFTWARE DEVELOPER,FL,Level III,"91,645.00"
SOFTWARE DEVELOPMENT ENGINEER II,WA,Level II,"113,318.00"
SOFTWARE DEVELOPMENT ENGINEER III,CA,Level III,"147,597.00"
APPLIED SCIENTIST II,WA,Level II,"119,850.00"
SOFTWARE DEVELOPMENT ENGINEER I,CA,Level I,"94,557.00"
SOFTWARE DEVELOPMENT ENGINEER II,CA,Level II,"121,077.00"
SOFTWARE DEVELOPMENT ENGINEER III,CA,Level III,"147,597.00"
SOFTWARE DEVELOPMENT ENGINEER II,CA,Level II,"109,242.00"
TECHNICAL PROGRAM MANAGER II,WA,Level II,"113,318.00"
ASSOCIATE,NY,Level III,"137,946.00"
DEVELOPER,TX,Level III,"66,310.00"
DATABASE ADMINISTRATOR,AZ,Level II,"69,493.00"
NETWORK ADMINISTRATOR,IL,Level II,"74,131.00"
SENIOR SYSTEMS ANALYST,WA,Level II,"85,342.00"
SENIOR SOFTWARE ENGINEER,CA,Level II,"121,077.00"
COMPUTER SYSTEMS ANALYST 2,MA,Level II,"78,666.00"
SENIOR MANAGER - SOLUTION ARCHITECT,NJ,Level IV,"123,843.00"
SOFTWARE ENGINEERING SMTS,CA,Level III,"138,091.00"
SENIOR SOFTWARE ENGINEER,CA,Level IV,"157,706.00"
MANAGEMENT ANALYST II,TX,Level II,"76,378.00"
SPECIALIST SENIOR,VA,Level II,"84,302.00"
SENIOR CONSULTANT,NY,Level II,"83,866.00"
SENIOR SYSTEM ENGINEER,NJ,Level II,"77,022.00"
SENIOR APPLICATION DEVELOPER,FL,Level III,"90,397.00"
ANALYST,GA,Level I,"63,710.00"
LEAD MES ENGINEER,NC,Level IV,"121,389.00"
SOFTWARE ENGINEER-SAS(SENIOR),MD,Level III,"114,982.00"
SR. SOFTWARE ENGINEER,MO,Level III,"100,880.00"
MANAGER,CA,Level III,"121,118.00"
EARLY EDUCATION SERVICE COORDINATOR,MA,Level I,"40,186.00"
SENIOR ANALYST,NY,Level II,"106,371.00"
DATA ANALYST II,DC,Level II,"55,266.00"
LEAD SOFTWARE ENGINEER,TN,Level I,"66,498.00"
DATA ENGINEER,CA,Level III,"141,898.00"
SPECIALIST SENIOR,CO,Level II,"105,414.00"
TAX ACCOUNTANT,CO,Level II,"60,986.00"
SOFTWARE ENGINEER,OH,Level II,"77,189.00"
COMPUTER SYSTEMS ANALYST,CA,Level II,"96,762.00"
SOFTWARE DEVELOPER,RI,Level III,"93,371.00"
TECHNICAL TEAM LEAD,NC,Level II,"78,978.00"
DESIGNER,CA,Level III,"68,786.00"
SENIOR CONSULTANT,CO,Level II,"87,173.00"
INSTRUCTOR (SCIENTIST),MA,Level I,"49,005.00"
SYSTEM ANALYST JC65,MN,Level II,"77,542.00"
SYSTEM ANALYST JC65,OR,Level II,"78,187.00"
SYSTEM ANALYST JC65,TX,Level II,"80,850.00"
AWS CLOUD INFRASTRUCTURE ARCHITECT,CA,Level III,"138,091.00"
AWS CLOUD INFRASTRUCTURE ARCHITECT,VA,Level III,"124,218.00"
SOFTWARE ENGINEERING & DEVOPS MANAGER,CA,Level II,"168,189.00"
MARKETING ANALYST,CA,Level II,"54,517.00"
SR. MANUFACTURING ENGINEER,CA,Level III,"125,944.00"
SOFTWARE DEVELOPER,PA,Level II,"90,646.00"
VALIDATION ANALYST,TX,Level II,"92,269.00"
"SOFTWARE DEVELOPER, APPLICATIONS",WA,Level II,"113,318.00"
JAVA DEVELOPER /SOFTWARE DEVELOPER,VA,Level II,"93,933.00"
.NET DEVELOPER,CA,Level I,"71,531.00"
HEAD OF MANAGEMENT INFORMATION SYSTEMS & PRODUCT DEVELOPMENT,CA,Level II,"168,189.00"
SOFTWARE DEVELOPER,CA,Level II,"109,242.00"
SOFTWARE ENGINEERING LMTS,CA,Level IV,"157,706.00"
SOFTWARE ENGINEER 1615.24789,CA,Level III,"132,184.00"
SENIOR ENGINEER,AZ,Level III,"97,968.00"
LEAD SYSTEMS ENGINEER,VA,Level IV,"144,872.00"
SOFTWARE ENGINEER,OH,Level II,"77,189.00"
PROGRAMMER/ DEVELOPER 2,IN,Level II,"65,021.00"
SR. SYSTEMS DEVELOPER,IN,Level IV,"67,226.00"
SYSTEMS ANALYST JC65,VA,Level I,"65,686.00"
SENIOR SYSTEMS ANALYST JC60,CA,Level II,"102,898.00"
MANAGER JC50,CA,Level III,"111,946.00"
IT ARCHITECT,IL,Level IV,"96,533.00"
AO/QUANTITATIVE ASSOCIATE,NY,Level III,"106,350.00"
IT CONSULTANT (SAP OTC),OR,Level II,"90,480.00"
SENIOR TECHNICAL LEAD,PA,Level II,"72,779.00"
SOFTWARE DEVELOPER,CA,Level II,"93,538.00"
LEAD ENGINEER,MA,Level II,"71,614.00"
SENIOR DATA SCIENTIST,WA,Level III,"144,518.00"
ARCHITECT LEVEL 2,MA,Level II,"71,614.00"
